"","año","Edad","salario","Fecha","Fuente"
"1",1990,"25-29",356.433194030143,Dec 1990,"CASEN"
"2",1990,"35-50",552.154751414742,Dec 1990,"CASEN"
"3",1992,"25-29",360.572490581214,Dec 1992,"CASEN"
"4",1992,"35-50",634.415994260566,Dec 1992,"CASEN"
"5",1994,"25-29",430.14742490449,Dec 1994,"CASEN"
"6",1994,"35-50",657.723149841106,Dec 1994,"CASEN"
"7",1996,"25-29",449.836475823285,Dec 1996,"CASEN"
"8",1996,"35-50",742.451865595442,Dec 1996,"CASEN"
"9",1998,"25-29",498.521569842427,Dec 1998,"CASEN"
"10",1998,"35-50",844.135314429061,Dec 1998,"CASEN"
"11",2000,"25-29",513.725445808245,Dec 2000,"CASEN"
"12",2000,"35-50",877.33513542638,Dec 2000,"CASEN"
"13",2003,"25-29",508.37923844536,Dec 2003,"CASEN"
"14",2003,"35-50",790.246886712132,Dec 2003,"CASEN"
"15",2006,"25-29",622.909341813752,Dec 2006,"CASEN"
"16",2006,"35-50",799.752910924814,Dec 2006,"CASEN"
"17",2009,"25-29",685.966774795084,Dec 2009,"CASEN"
"18",2009,"35-50",860.169030918666,Dec 2009,"CASEN"
"19",2011,"25-29",686.986777128238,Dec 2011,"CASEN"
"20",2011,"35-50",887.846602139154,Dec 2011,"CASEN"
"21",2013,"25-29",702.902569698938,Dec 2013,"CASEN"
"22",2013,"35-50",835.632937774971,Dec 2013,"CASEN"
"23",2015,"25-29",711.722375291081,Dec 2015,"CASEN"
"24",2015,"35-50",847.843466285857,Dec 2015,"CASEN"
"25",2017,"25-29",735.982801402898,Dec 2017,"CASEN"
"26",2017,"35-50",933.004436727435,Dec 2017,"CASEN"
"27",2022,"25-29",752.524517465756,Dec 2022,"CASEN"
"28",2022,"35-50",1036.03171544208,Dec 2022,"CASEN"
"29",NA,NA,NA,NA,"CASEN"
