"","año","edad_gama","total","ingresos_aut"
"1",1990,"<25",817807,233.073653512674
"2",1990,"25-29",745331,345.090435637421
"3",1990,"30-34",670339,449.024785988147
"4",1990,"35-50",1556346,528.257135511257
"5",1990,">50",778776,541.936904528248
"6",1992,"<25",906097,253.133735740492
"7",1992,"25-29",780926,374.601079036213
"8",1992,"30-34",722328,479.860998021546
"9",1992,"35-50",1708867,622.752897494392
"10",1992,">50",909635,610.041562547991
"11",1998,"<25",779396,294.682326050253
"12",1998,"25-29",767753,486.872297106483
"13",1998,"30-34",811434,616.379840780003
"14",1998,"35-50",2166746,780.860509472893
"15",1998,">50",1069320,715.953919408255
"16",2000,"<25",657763,296.344685360276
"17",2000,"25-29",744143,495.59643017957
"18",2000,"30-34",742462,618.382032476471
"19",2000,"35-50",2347987,809.510016923227
"20",2000,">50",1117806,715.245622033982
"21",2003,"<25",752775,287.468679899883
"22",2003,"25-29",715114,503.023534744877
"23",2003,"30-34",821792,619.761566406778
"24",2003,"35-50",2440484,727.994974296904
"25",2003,">50",1146118,870.362185896498
"26",2006,"<25",876763,338.202002507697
"27",2006,"25-29",782964,596.458140003372
"28",2006,"30-34",797326,690.798086934385
"29",2006,"35-50",2659970,746.154236909801
"30",2006,">50",1588260,739.593065499651
"31",2009,"<25",839485,408.354392458831
"32",2009,"25-29",744665,664.494004545132
"33",2009,"30-34",723249,763.786422997346
"34",2009,"35-50",2602778,806.967669986825
"35",2009,">50",1726344,935.834411627542
"36",2011,"<25",915638,430.688385480706
"37",2011,"25-29",831660,659.996956064229
"38",2011,"30-34",793083,770.728888656009
"39",2011,"35-50",2698926,803.10171209661
"40",2011,">50",1969113,783.514324126215
"41",2013,"<25",884145,391.622739441188
"42",2013,"25-29",871458,643.538253599862
"43",2013,"30-34",844161,757.470220879895
"44",2013,"35-50",2777351,754.944643364963
"45",2013,">50",2181222,643.039491288545
"46",2015,"<25",855123,393.709694151227
"47",2015,"25-29",960385,657.521592491027
"48",2015,"30-34",849658,788.914290174257
"49",2015,"35-50",2755022,775.180579083044
"50",2015,">50",2413949,649.079897371643
"51",2017,"<25",806835,402.860503775399
"52",2017,"25-29",1033470,672.357275344671
"53",2017,"30-34",941100,811.240453306621
"54",2017,"35-50",2744406,855.892115603637
"55",2017,">50",2666903,681.29217063685
"56",2022,"<25",698105,414.806866428403
"57",2022,"25-29",1135288,689.587923709226
"58",2022,"30-34",1347666,856.685972140723
"59",2022,"35-50",3555800,941.233491498959
"60",2022,">50",2684440,712.061282273772
