"","año","total","ingresos_aut"
"1",1990,4568599,436.241619245222
"2",1992,5027853,494.770532911466
"3",1994,5178254,546.352486911944
"4",1996,5539875,594.430046623867
"5",1998,5594649,636.524951466689
"6",2000,5610161,663.629651289003
"7",2003,5876283,656.815092013957
"8",2006,6705283,667.195328919099
"9",2009,6636521,769.374556541594
"10",2011,7208420,730.373650860008
"11",2013,7558337,667.58769964329
"12",2015,7834137,681.751767410245
"13",2017,8192714,726.159488746242
"14",2022,9421299,794.50933859651
