"","año","sexo","edad_gama","total","ingresos_aut"
"1",1990,"hombre","<25",528203,242.362725670102
"2",1990,"hombre","25-29",492311,366.45817045773
"3",1990,"hombre","30-34",451595,508.860003010065
"4",1990,"hombre","35-50",1044549,608.845075879749
"5",1990,"hombre",">50",559890,624.910242773198
"6",1990,"mujer","<25",289604,216.131498774586
"7",1990,"mujer","25-29",253020,303.514390672121
"8",1990,"mujer","30-34",218744,325.495524243774
"9",1990,"mujer","35-50",511797,363.78166472114
"10",1990,"mujer",">50",218886,329.698833797525
"11",1992,"hombre","<25",584726,264.215789152573
"12",1992,"hombre","25-29",514550,392.04134721838
"13",1992,"hombre","30-34",488484,528.254769404855
"14",1992,"hombre","35-50",1130065,712.339943771749
"15",1992,"hombre",">50",650754,706.870941349573
"16",1992,"mujer","<25",321371,232.970233858137
"17",1992,"mujer","25-29",266376,340.912270760943
"18",1992,"mujer","30-34",233844,378.769744791172
"19",1992,"mujer","35-50",578802,447.841294819524
"20",1992,"mujer",">50",258881,366.639746375146
"21",1998,"hombre","<25",476597,305.983979760181
"22",1998,"hombre","25-29",477718,511.340577884808
"23",1998,"hombre","30-34",507548,689.95992152921
"24",1998,"hombre","35-50",1376392,893.122456016215
"25",1998,"hombre",">50",725902,831.417664750007
"26",1998,"mujer","<25",302799,276.893845067186
"27",1998,"mujer","25-29",290035,446.570477819638
"28",1998,"mujer","30-34",303886,493.486970348007
"29",1998,"mujer","35-50",790354,585.357677670104
"30",1998,"mujer",">50",343418,471.891687169211
"31",2000,"hombre","<25",403821,310.266370983233
"32",2000,"hombre","25-29",451604,521.649398969243
"33",2000,"hombre","30-34",460119,694.204518136256
"34",2000,"hombre","35-50",1473879,967.939856883316
"35",2000,"hombre",">50",762180,841.559553476834
"36",2000,"mujer","<25",253942,274.206287576738
"37",2000,"mujer","25-29",292539,455.377434020797
"38",2000,"mujer","30-34",282343,494.818259762799
"39",2000,"mujer","35-50",874108,542.373216790366
"40",2000,"mujer",">50",355626,444.528767059625
"41",2003,"hombre","<25",467851,297.243486969213
"42",2003,"hombre","25-29",427898,528.866510682169
"43",2003,"hombre","30-34",515241,676.678599702678
"44",2003,"hombre","35-50",1528221,838.890473943337
"45",2003,"hombre",">50",761888,1026.01041789758
"46",2003,"mujer","<25",284924,271.418247987537
"47",2003,"mujer","25-29",287216,464.522344986596
"48",2003,"mujer","30-34",306551,524.097258828556
"49",2003,"mujer","35-50",912263,542.223073688018
"50",2003,"mujer",">50",384230,561.72798194877
"51",2006,"hombre","<25",537048,355.924575549545
"52",2006,"hombre","25-29",468004,621.322197850996
"53",2006,"hombre","30-34",486963,788.320430151958
"54",2006,"hombre","35-50",1592138,870.865195977377
"55",2006,"hombre",">50",1018503,860.766500498987
"56",2006,"mujer","<25",339715,310.184775105381
"57",2006,"mujer","25-29",314960,559.51224678227
"58",2006,"mujer","30-34",310363,537.784445423456
"59",2006,"mujer","35-50",1067832,560.210139947052
"60",2006,"mujer",">50",569757,522.982287453689
"61",2009,"hombre","<25",503175,434.571786247728
"62",2009,"hombre","25-29",430500,725.729164617069
"63",2009,"hombre","30-34",416911,828.062911447428
"64",2009,"hombre","35-50",1539813,943.536109572584
"65",2009,"hombre",">50",1107004,1131.51104477798
"66",2009,"mujer","<25",336310,369.12886505932
"67",2009,"mujer","25-29",314165,580.583523075294
"68",2009,"mujer","30-34",306338,676.30927332538
"69",2009,"mujer","35-50",1062965,609.134384164727
"70",2009,"mujer",">50",619340,586.083361147898
"71",2011,"hombre","<25",560747,466.654947376746
"72",2011,"hombre","25-29",462409,732.171669143869
"73",2011,"hombre","30-34",458413,863.185215515013
"74",2011,"hombre","35-50",1512811,939.148437723994
"75",2011,"hombre",">50",1215312,914.766280331896
"76",2011,"mujer","<25",354891,373.859269826837
"77",2011,"mujer","25-29",369251,569.613350060604
"78",2011,"mujer","30-34",334670,644.087175432779
"79",2011,"mujer","35-50",1186115,629.583138397525
"80",2011,"mujer",">50",753801,571.903995405186
"81",2013,"hombre","<25",522256,426.754794636607
"82",2013,"hombre","25-29",483433,718.377952558548
"83",2013,"hombre","30-34",461234,846.645883879166
"84",2013,"hombre","35-50",1538543,895.505824400317
"85",2013,"hombre",">50",1315929,746.712533925884
"86",2013,"mujer","<25",361889,340.922313017234
"87",2013,"mujer","25-29",388025,550.296889804508
"88",2013,"mujer","30-34",382927,650.058500766651
"89",2013,"mujer","35-50",1238808,580.37407136859
"90",2013,"mujer",">50",865293,485.374557763471
"91",2015,"hombre","<25",490086,414.294931563155
"92",2015,"hombre","25-29",525502,710.988935482257
"93",2015,"hombre","30-34",464149,887.9982630728
"94",2015,"hombre","35-50",1491394,917.445667968159
"95",2015,"hombre",">50",1432719,760.508826752631
"96",2015,"mujer","<25",365037,366.072669240707
"97",2015,"mujer","25-29",434883,592.912960568015
"98",2015,"mujer","30-34",385509,669.618172737602
"99",2015,"mujer","35-50",1263628,607.272539713291
"100",2015,"mujer",">50",981230,486.379669826834
"101",2017,"hombre","<25",475553,431.08117998019
"102",2017,"hombre","25-29",555171,727.762288950007
"103",2017,"hombre","30-34",504296,877.078885403036
"104",2017,"hombre","35-50",1466084,988.147495640927
"105",2017,"hombre",">50",1586010,787.708018182796
"106",2017,"mujer","<25",331282,362.349919948873
"107",2017,"mujer","25-29",478299,608.047592890208
"108",2017,"mujer","30-34",436804,735.229111944145
"109",2017,"mujer","35-50",1278322,704.210851738517
"110",2017,"mujer",">50",1080893,525.146651731333
"111",2022,"hombre","<25",394519,446.868931151605
"112",2022,"hombre","25-29",631968,726.547745813079
"113",2022,"hombre","30-34",761000,924.508389680681
"114",2022,"hombre","35-50",1992228,1062.89932057776
"115",2022,"hombre",">50",1655917,803.304828181005
"116",2022,"mujer","<25",303586,373.141263559584
"117",2022,"mujer","25-29",503320,643.181214547405
"118",2022,"mujer","30-34",586666,768.709406687963
"119",2022,"mujer","35-50",1563572,786.212762466966
"120",2022,"mujer",">50",1028523,565.159619590424
